Membership No  Date Joined  Active  
    68010      2019-4-2     no    
    47474      2016-3-22    no    
    72815      2020-1-23    no    
    87805      2019-9-15    no    
    98498      2018-7-13    no    
    56953      2017-2-20    no    
    81495      2018-5-25    no    
    19621      2015-10-13   no    
    42615      2015-11-16   no    
    61662      2018-4-21    no    
    49779      2015-11-19   no    
    26795      2018-8-19    no    
    29129      2017-4-11    no    
    76266      2015-5-5     no    
    19621      2015-10-13   no    
    42615      2015-11-16   no    
    61662      2018-4-21    no    
    49779      2015-11-19   no    
    26795      2018-8-19    no    
    29129      2017-4-11    no    
    76266      2015-5-5     no    
    49779      2015-11-19   no    
    26795      2018-8-19    no    
    29129      2017-4-11    no    
    76266      2015-5-5     no    
    26795      2018-8-19    no    
    29129      2017-4-11    no    
    76266      2015-5-5     no    
    29129      2017-4-11    no    
    76266      2015-5-5     no    
    76266      2015-5-5     no    
    29129      2017-4-11    no    
    76266      2015-5-5     no    
